transaction_id,date,description,amount,currency,country_code
TX100038,2026-06-22T20:23:00Z,SHELL OUTLET GLASGOW GBR,67.12,GBP,GB
TX100039,2026-06-04T07:14:00Z,PRIMARK LONDON CARDIFF GBR,11.94,GBP,GB
TX100040,2026-06-18T07:37:00Z,TESCO STORES 3425 LIVERPOOL GBR,34.98,GBP,GB
TX100041,2026-06-08T02:57:00Z,ASDA SUPERSTORE LONDON GBR,7.13,GBP,GB
TX100042,2026-06-17T07:17:00Z,TRAINLINE.COM MANCHESTER GBR,101.17,GBP,GB
TX100043,2026-06-05T23:59:00Z,AMZN Mktp UK*2A34B BELFAST GBR,132.65,GBP,GB
TX100044,2026-06-08T15:51:00Z,BP CONNECT CAMBRIDGE CARDIFF GBR,62.54,GBP,GB
TX100045,2026-06-22T13:22:00Z,MARKS&SPENCER PLC MANCHESTER GBR,64.98,GBP,GB
TX100046,2026-06-22T20:41:00Z,LIDL GB WIMBLEDON LONDON GBR,17.02,GBP,GB
TX100047,2026-06-26T03:15:00Z,DELIVEROO LONDON EDINBURGH GBR,30.76,GBP,GB
TX100048,2026-06-05T13:11:00Z,SPAR MANCHESTER CARDIFF GBR,43.59,GBP,GB
TX100049,2026-06-15T17:06:00Z,SBUX COFFEE CO MANCHESTER GBR,9.96,GBP,GB
TX100050,2026-06-03T07:10:00Z,SPAR MANCHESTER LONDON GBR,62.45,GBP,GB
TX100051,2026-06-28T12:57:00Z,ALDI STORES BATTERSEA LEEDS GBR,11.15,GBP,GB
TX100052,2026-06-13T08:59:00Z,DELIVEROO LONDON LONDON GBR,118.15,GBP,GB
TX100053,2026-06-14T22:46:00Z,LIDL GB WIMBLEDON BRISTOL GBR,149.32,GBP,GB
TX100054,2026-06-05T06:18:00Z,SPAR MANCHESTER CARDIFF GBR,34.61,GBP,GB
TX100055,2026-06-24T17:03:00Z,SAINSBURYS S/MKTS LIVERPOOL GBR,112.83,GBP,GB
TX100056,2026-06-19T15:32:00Z,SAINSBURYS S/MKTS LONDON GBR,138.11,GBP,GB
TX100057,2026-06-02T16:05:00Z,PRIMARK LONDON BIRMINGHAM GBR,128.07,GBP,GB
TX100058,2026-06-03T21:55:00Z,ASDA SUPERSTORE LIVERPOOL GBR,37.19,GBP,GB
TX100059,2026-06-08T18:38:00Z,MARKS&SPENCER PLC LIVERPOOL GBR,8.36,GBP,GB
TX100060,2026-06-22T18:36:00Z,ASDA SUPERSTORE GLASGOW GBR,79.61,GBP,GB
TX100061,2026-06-07T21:45:00Z,CAFE NERO WEYBRIDGE BRISTOL GBR,48.84,GBP,GB
TX100062,2026-06-05T21:41:00Z,NETFLIX.COM GLASGOW GBR,46.75,GBP,GB
TX100063,2026-06-01T14:39:00Z,TRAINLINE.COM MANCHESTER GBR,149.77,GBP,GB
TX100064,2026-06-18T06:32:00Z,MARKS&SPENCER PLC MANCHESTER GBR,41.62,GBP,GB
TX100065,2026-06-29T02:56:00Z,CAFE NERO WEYBRIDGE EDINBURGH GBR,38.53,GBP,GB
TX100066,2026-06-15T17:45:00Z,SHELL OUTLET BIRMINGHAM GBR,47.12,GBP,GB
TX100067,2026-06-01T21:52:00Z,B&Q PLC SOUTHAMPTON BELFAST GBR,84.3,GBP,GB
TX100068,2026-07-01T04:16:00Z,CAFE NERO WEYBRIDGE MANCHESTER GBR,19.53,GBP,GB
TX100069,2026-06-05T08:18:00Z,MARKS&SPENCER PLC BELFAST GBR,91.71,GBP,GB
TX100070,2026-06-07T21:40:00Z,SPORTS DIRECT WEMBLEY EDINBURGH GBR,128.3,GBP,GB
TX100071,2026-06-09T01:05:00Z,PRIMARK LONDON CARDIFF GBR,96.06,GBP,GB
TX100072,2026-06-02T00:21:00Z,CURRYS PC WORLD BRISTOL GBR,116.24,GBP,GB
TX100073,2026-06-06T23:28:00Z,JUST EAT LONDON BRISTOL GBR,83.87,GBP,GB
TX100074,2026-06-01T03:04:00Z,EE TOP UP BELFAST GBR,141.9,GBP,GB
TX100075,2026-06-18T01:53:00Z,SPORTS DIRECT WEMBLEY BIRMINGHAM GBR,56.96,GBP,GB
TX100076,2026-06-14T04:02:00Z,SPAR MANCHESTER BIRMINGHAM GBR,47.97,GBP,GB
TX100077,2026-06-29T11:13:00Z,COSTA COFFEE LONDON GBR,103.1,GBP,GB
TX100078,2026-06-12T17:56:00Z,W H SMITH HEATHROW MANCHESTER GBR,131.52,GBP,GB
TX100079,2026-06-30T07:55:00Z,CO-OP GROUP BIRMINGHAM GBR,26.47,GBP,GB
TX100080,2026-06-29T13:01:00Z,B&Q PLC SOUTHAMPTON BIRMINGHAM GBR,28.96,GBP,GB
TX100081,2026-06-26T13:51:00Z,CAFE NERO WEYBRIDGE EDINBURGH GBR,101.31,GBP,GB
TX100082,2026-06-09T05:50:00Z,ZARA LONDON LEEDS GBR,105.94,GBP,GB
TX100083,2026-06-28T15:14:00Z,DELIVEROO LONDON LONDON GBR,31.94,GBP,GB
TX100084,2026-06-12T09:52:00Z,CAFE NERO WEYBRIDGE CARDIFF GBR,119.81,GBP,GB
TX100085,2026-06-01T21:12:00Z,SBUX COFFEE CO LEEDS GBR,61.27,GBP,GB
TX100086,2026-07-01T08:22:00Z,NETFLIX.COM MANCHESTER GBR,97.12,GBP,GB
TX100087,2026-06-11T00:07:00Z,DELIVEROO LONDON BELFAST GBR,131.86,GBP,GB
TX100088,2026-06-19T08:02:00Z,NETFLIX.COM BIRMINGHAM GBR,18.49,GBP,GB
TX100089,2026-06-24T10:27:00Z,EE TOP UP EDINBURGH GBR,91.92,GBP,GB
TX100090,2026-06-13T18:12:00Z,PRIMARK LONDON MANCHESTER GBR,40.07,GBP,GB
TX100091,2026-06-01T16:59:00Z,SPORTS DIRECT WEMBLEY GLASGOW GBR,121.46,GBP,GB
TX100092,2026-06-12T13:04:00Z,W H SMITH HEATHROW LEEDS GBR,142.46,GBP,GB
TX100093,2026-06-20T10:42:00Z,CAFE NERO WEYBRIDGE EDINBURGH GBR,127.58,GBP,GB
TX100094,2026-06-17T09:42:00Z,ZARA LONDON BRISTOL GBR,62.74,GBP,GB
TX100095,2026-06-18T04:12:00Z,DELIVEROO LONDON BRISTOL GBR,64.52,GBP,GB
TX100096,2026-06-20T18:19:00Z,DELIVEROO LONDON BIRMINGHAM GBR,62.4,GBP,GB
TX100097,2026-06-10T09:13:00Z,CURRYS PC WORLD LONDON GBR,65.91,GBP,GB
TX100098,2026-06-21T10:29:00Z,BP CONNECT CAMBRIDGE LIVERPOOL GBR,67.66,GBP,GB
TX100099,2026-06-17T15:50:00Z,W H SMITH HEATHROW LEEDS GBR,135.42,GBP,GB
TX100100,2026-06-22T02:18:00Z,B&Q PLC SOUTHAMPTON BIRMINGHAM GBR,78.53,GBP,GB
